"country"	"species"
"France"	1
"France"	11
"France"	1
"France"	27
"France"	13
"France"	39
"France"	13
"France"	5
"France"	30
"France"	6
"France"	25
"France"	1
"France"	28
"France"	27
"France"	4
"France"	17
"France"	8
"France"	2
"France"	14
"France"	27
"France"	0
"France"	23
"France"	1
"France"	1
"France"	6
"France"	5
"France"	28
"France"	19
"France"	48
"France"	30
"Germany"	1
"Germany"	4
"Germany"	17
"Germany"	7
"Germany"	7
"Germany"	1
"Germany"	29
"Germany"	5
"Germany"	0
"Germany"	9
"Germany"	6
"Germany"	44
"Germany"	18
"Germany"	3
"Germany"	1
"Germany"	9
"Germany"	9
"Germany"	13
"Germany"	17
"Germany"	27
"Germany"	7
"Germany"	3
"Germany"	17
"Germany"	33
"Germany"	3
"Germany"	5
"Germany"	8
"Germany"	18
"Germany"	3
"Germany"	1
"Germany"	6
"Germany"	11
"Germany"	14
"Germany"	4
"Germany"	14
"Germany"	3
"Germany"	13
"Germany"	6
"Germany"	5
"Germany"	3
